,Diagnose_Code,Diagnose_name
51,A079,"Protozoární strevní nemoci, NS   "
52,A080,Rotavirová enteritida     
53,A081,"Akutní gastroenteropatie, puvodce: agens Norwalk  "
54,A082,Adenovirová enteritida     
55,A083,Jiná virová enteritida    
56,A084,"Virové strevní infekce, NS   "
57,A085,Jiné urcené strevní infekce   
58,A09, Prujem-diarrhoea a gastroenteritida predpokládaného infekcního puvodu
59,A150,"Tuberkulóza plic, overená ze sputa mikroskopicky sbezkultivace"
60,A151,"Tuberkulóza plic, overená pouze kultivací  "
61,A152,"Tuberkulóza plic, overená histologicky   "
62,A153,"Tuberkulóza plic, overená NS zpusoby  "
63,A154,"Tuberkulóza nitrohrudních mízních uzlin, bakteriologicky a histologicky"
64,A155,"Tuberkulóza hrtanu, prudusnice a bronchu, bakteriologicky aoverená"
65,A156,"Tuberkulózní zánet pohrudnice, bakteriologicky a histologicky overeny"
66,A157,Primární tuberkulóza dychacího ústrojí bakteriologicky a histologicky
67,A158,"Jiná tuberkulóza dychacího ústrojí, bakteriologicky a histologicky"
68,A159,"Tuberkulóza dychacího ústrojí NS, bakteriologicky a histologicky"
69,A160,"Tuberkulóza plic, bakteriologicky a histologicky negativní "
70,A161,"Tuberkulóza plic, bakteriologické a histologické vysetrení nebylo"
71,A162,"Tuberkulóza plic, bez uvedení bakteriologického nebo histologického"
72,A163,"Tuberkulóza nitrohrudních mízních uzlin,bez uvedení bakteriol.nebo histol.overení"
73,A164,"Tuberkulóza hrtanu,prudusnice a bronchu,bez uvedení bakteriol.nebo histol.overení"
74,A165,"Tuberkulózní zánet pohrudnice, bez uvedení bakteriologického histologickéhooverení"
75,A167,Primární tuberkulóza dychacího ústrojí bez uvedení bakteriol.nebo
76,A168,"Jiná tuberkulóza dychacího ústrojí,bez uvedení bakteriol.nebo histol.overení"
77,A169,"Tuberkulóza dychacího ústrojí NS,bez uvedení bakteriol.nebo histol.overení"
78,A170,Tuberkulózní meningitida - meningitis tuberculosa (G01*) 
79,A171,Meningeální tuberkulom (G07*)    
80,A178,Jiná tuberkulóza nervové soustavy   
81,A179,"Tuberkulóza nervové soustavy, NS (G99.8*)  "
82,A180,Tuberkulóza kostí a kloubu   
83,A181,Tuberkulóza mocové a pohlavní soustavy  
84,A182,Tuberkulózní periferní lymfadenopatie    
85,A183,"Tuberkulóza strev, pobrisnice a mezenterickych uzlin "
86,A184,Tuberkulóza kuzee a podkozního vaziva  
87,A185,Tuberkulóza oka     
88,A186,Tuberkulóza ucha     
89,A187,Tuberkulóza nadledvin (E35.1*)    
90,A188,Tuberkulóza jinych urcenych orgánu   
91,A190,Akutní miliární tuberkulóza jediného urceného místa 
92,A191,Akutní miliární tuberkulóza více lokalizací  
93,A192,"Akutní miliární tuberkulóza, NS   "
94,A198,Jiná miliární tuberkulóza    
95,A199,"Miliární tuberkulóza, NS    "
96,A200,Bubonicky - dymejovy mor   
97,A201,Celulokutanní mor     
98,A202,Plicní mor     
99,A203,Morová meningitida     
100,A207,Septikémicky mor     
101,A208,Jiné formy moru    
102,A209,"Mor, NS     "
103,A210,Ulceroglandulární tularémie     
104,A211,Okuloglandulární tularémie     
105,A212,Plicní tularémie     
106,A213,Gastrointestinální tularémie     
107,A217,Generalizovaná tularémie     
108,A218,Jiné formy tularémie    
109,A219,"Tularémie, NS     "
110,A220,Kozní antrax     
111,A221,Plicní antrax     
112,A222,Gastrointestinální antrax     
113,A227,Antraxová septikémie     
114,A228,Jiné formy antraxu    
115,A229,"Anthrax, NS     "
116,A230,"Brucelóza, puvodce: Brucella melitensis   "
117,A231,"Brucelóza, puvodce: Brucella abortus   "
118,A232,"Brucelóza, puvodce: Brucella suis   "
119,A233,"Brucelóza, puvodce: Brucella canis   "
120,A238,Jiná brucelóza     
121,A239,"Brucellosis, NS     "
122,A240,Malleus - vozhrivka    
123,A241,Akutní prudká melioidóza    
124,A242,Subakutní nebo chronická melioidóza   
125,A243,Jiná melioidóza     
126,A244,"Melioidosis, NS     "
127,A250,Spirillosis      
128,A251,Streptobacillosis      
129,A259,"Horecka z krysího kousnutí, NS  "
130,A260,Kozní erysipeloid     
131,A267,Erysipelothrixová septikémie     
132,A268,Ostatní formy erysipeloidu    
133,A269,"Erysipeloid, NS     "
134,A270,Leptospirosis icterohaemorrhagica     
135,A278,Ostatní formy leptospirózy    
136,A279,"Leptospiróza, NS     "
137,A280,Pasteurellosis      
138,A281,Nemoc kocicího skrábnutí    
139,A282,Extraintestinální yersinióza     
140,A288,Jiné urcené zoonotické bakteriální nemoci nezaraditelné jinam
141,A289,"Zoonotická bakteriální nemoc, NS   "
142,A300,Lepra indeterminovaná     
143,A301,Lepra tuberkuloidní     
144,A302,Lepra hranicní tuberkuloidní    
145,A303,Lepra hranicní     
146,A304,Lepra hranicní lepromatózní    
147,A305,Lepra lepromatózní     
148,A308,Jiné formy lepry    
149,A309,"Lepra, NS     "
150,A310,Plicní mykobakteriální infekce    
151,A311,Kozní mykobakteriální infekce    
152,A318,Jiné mykobakteriální infekce    
153,A319,"Mykobakteriální infekce, NS    "
154,A320,Listerióza kozní     
155,A321,Listeriová meningitida a meningoencefalitida   
156,A327,Listeriová septikémie     
157,A328,Jiné formy listeriózy    
158,A329,"Listerióza, NS     "
159,A33, Tetanus novorozencu    
160,A34, Tetanus porodnicky    
161,A35, Tetanus jiny    
162,A360,Záskrt hltanu     
163,A361,Nosohltanovy záskrt     
164,A362,Hrtanovy záskrt     
165,A363,Kozní záskrt     
166,A368,Jiny záskrt     
167,A369,"Záskrt, NS     "
168,A370,"Dávivy kasel, puvodce: Bordetella pertussis  "
169,A371,"Dávivy kasel, puvodce: Bordetella parapertussis  "
170,A378,"Dávivy kasel, puvodce: jiny urceny druh Bordetelly"
171,A379,"Dávivy kasel, NS    "
172,A38, Spála - scarlatina   
173,A390,Meningokoková meningitida - meningitis meningococcica (G01*) 
174,A391,Waterhauseuv-Friderichsenuv syndrom (E35.1*)    
175,A392,Akutní meningokokcémie     
176,A393,Chronická meningokokcémie     
177,A394,"Meningokokcémie, NS     "
178,A395,Meningokoková onemocnení srdce    
179,A398,Jiné meningokokové infekce    
180,A399,"Meningokoková infekce, NS    "
181,A400,"Septikémie, zpusobená Streptokoky skupiny A  "
182,A401,"Septikémie, zpusobená Streptokoky, skupiny B  "
183,A402,"Septikémie zpusobená Streptokoky, skupiny D  "
184,A403,"Septikémie, puvodce: Streptococcus pneumoniae   "
185,A408,Jiná streptokoková septikémie    
186,A409,"Streptokoková septikémie, NS    "
187,A410,"Septikémie, puvodce: Staphylococcus aureus   "
188,A411,"Septikémie, zpusobená jinymi urcenymi stafylokoky  "
189,A412,"Septikémie, zpusobená neurcenym stafylokokem   "
190,A413,"Septikémie, puvodce: Haemophilus influenzae   "
191,A414,"Septikémie, zpusobená anaeroby    "
192,A415,Septikémie zpusobená jinymi gramnegativními organismy  
193,A418,Jiné urcené septikémie    
194,A419,"Septikémie, NS     "
195,A420,Plicní aktinomykóza     
196,A421,Brisní aktinomykóza     
197,A422,Cervikofaciální aktinomykóza     
198,A427,Aktinomykotická septikémie     
199,A428,Jiné formy aktinomykózy    
200,A429,"Aktinomykóza, NS     "
201,A430,Plicní nokardióza     
202,A431,Kozní nokardióza     
203,A438,Jiné formy nocardiózy    
204,A439,"Nokardióza, NS     "
205,A440,Bartonelóza systémová     
206,A441,Bartonelóza kozní a mukokutánní   
207,A448,Jiné formy bartonelózy    
208,A449,"Bartonelóza, NS     "
209,A46, Růže - erysipelas   
210,A480,Plynatá sneť (gangrena emphysematosa)   
211,A481,Legionárská nemoc     
212,A482,Nepneumonická legionárská nemoc [pontiacká horecka ] 
213,A483,Syndrom toxického soku    
214,A484,Brazilská purpurová horecka    
215,A488,Jiné urcené bakteriální nemoci   
216,A490,"Stafylokoková infekce, NS    "
217,A491,"Streptokoková infekce, NS    "
218,A492,"Infekce, puvodce: Haemophilus influenzae, NS  "
219,A493,"Mykoplasmová infekce, NS    "
220,A498,Jiné bakteriální infekce neurcené lokalizace  
221,A499,"Bakteriální infekce, NS    "
222,A500,"Casná vrozená syfilis, s príznaky  "
223,A501,"Casná vrozená syfilis, latentní   "
224,A502,"Casná vrozená syfilis, NS   "
225,A503,Pozdní vrozená syfilitická okulopatie   
226,A504,Pozdní vrozená neurosyfilis [juvenilní neurosyfilis]  
227,A505,"Jiná pozdní vrozená syfilis, s príznaky "
228,A506,"Pozdní vrozená syfilis, latentní   "
229,A507,"Pozdní vrozená syfilis, NS   "
230,A509,"Vrozená syfilis, NS    "
231,A510,Primární genitální syfilis    
232,A511,Primární ritní syfilis    
233,A512,"Primární syfilis, jinych lokalizací   "
234,A513,Sekundární syfilis kuze a sliznic  
235,A514,Jiná sekundární syfilis    
236,A515,"Casná syfilis, latentní    "
237,A519,"Casná syfilis, NS    "
238,A520,Kardiovaskulární syfilis     
239,A521,Neurosyfilis s príznaky    
240,A522,Asymptomatická neurosyfilis     
241,A523,"Neurosyfilis, NS     "
242,A527,"Jiná pozdní syfilis, s príznaky  "
243,A528,"Pozdní syfilis, latentní    "
244,A529,"Pozdní syfilis, NS    "
245,A530,Latentní syfilis neurcená jako casná nebo pozdní
246,A539,"Syfilis, NS     "
247,A540,Gonokoková infekce dol.pohlav.a moc.ústrojí bez abscesu periuretrálníchprídatnýchzláz
248,A541,Gonokoková infekce dol.pohlav.a moc.ústrojí s abscesem periuretrálníchprídatnýchžláz
249,A542,Gonokoková pelviperitonitida a jiné gonokokové infekce pohlavníhomocovéhoústrojí
250,A543,Gonokoková infekce oka    
251,A544,Gonokoková infekce svalové a kosterní soustavy 
252,A545,Gonokoková faryngitida     
253,A546,Gonokoková infekce riti a rekta  
254,A548,Jiné gonokokové infekce    
255,A549,"Gonokoková infekce, NS    "
256,A55, Lymphogranuloma venereum (chlamydiovy)   
257,A560,Chlamydiová infekce dolního pohlavního a mocového ústrojí
258,A561,Chlamydiová infekce pelviperitonea a jinych pohlavních aorgánu
259,A562,"Chlamydiová infekce pohlavního a mocového ústrojí, NS"
260,A563,Chlamydiová infekce riti a konecníku  
261,A564,Chlamydiová infekce hltanu    
262,A568,Sexuálne prenesená chlamydiová infekce jinych lokalizací 
263,A57, Chancroid - ulcus molle - mekky
264,A58, Granuloma inguinale    
265,A590,Trichomoniáza urogenitální     
266,A598,Trichomoniáza jinych lokalizací    
267,A599,"Trichomoniáza, NS     "
268,A600,"Infekce mocového a pohlavního ústrojí, puvodce: Herpes"
269,A601,"Infekce perianální kuze a konecníku, puvodce: Herpes"
270,A609,"Anogenitální herpetická infekce, NS   "
271,A630,Anogenitální (venerické) bradavice    
272,A638,Jiné urcené nemoci prenásené prevázne sexuálne 
273,A64, Neurcené nemoci prenásené sexuálne  
274,A65, Nevenerická syfilis    
275,A660,Pocátecní frambéziové poskození    
276,A661,Mnohocetná frambéziová papilomata    
277,A662,Jiná cerstvá frambéziová poskození kuze  
278,A663,Frambéziová hyperkeratóza     
279,A664,Frambéziová gumata a vredy   
280,A665,Gangóza      
281,A666,Frambéziová poškození kostí a kloubu  
282,A667,Jiné projevy frambézie    
283,A668,Latentní frambézie     
284,A669,"Frambézie, NS     "
285,A670,Primární poškození při pintě   
286,A671,Přechodná poškození při pintě   
287,A672,Pozdní poškození při pintě   
288,A673,Smíšená poškození při pintě   
289,A679,"Pinta, NS     "
290,A680,"Návratná horecka, prenásená vesmi   "
291,A681,"Návratná horecka, prenásená klístaty   "
292,A689,"Návratná horecka, NS    "
293,A690,Nekrotizující ulcerativní stomatitida    
294,A691,Jiné Vincentovy infekce    
295,A692,Lymeská nemoc     
296,A698,Jiné urcené spirochétové infekce   
297,A699,"Spirochétové infekce, NS    "
298,A70, Infekce původce: Chlamydia psittaci  
299,A710,Pocátecní stadium trachomu    
300,A711,Aktivní stadium trachomu    
301,A719,"Trachom, NS     "
302,A740,Chlamydiová konjunktivitida (H13.1*)    
303,A748,Jiná chlamydiová onemocnění    
304,A749,"Chlamydiová infekce, NS    "
305,A750,"Epidemická skvrnivka přenášená vešmi, původce: Rickettsia prowazekii"
306,A751,Recidiva skvrnivky (Brillova - Zinsserova nemoc) 
307,A752,"Skvrnivka, původce: Rickettsia typhi   "
308,A753,"Skvrnivka, původce: Rickettsia tsutsugamushi   "
309,A759,"Skvrnivka, NS     "
310,A770,"Purpurová horecka, puvodce: Rickettsia rickettsii  "
311,A771,"Purpurová horecka, puvodce: Rickettsia conorii  "
312,A772,"Purpurová horecka, puvodce: Rickettsia siberica  "
313,A773,"Purpurová horecka, puvodce: Rickettsia australis  "
314,A778,Jiná purpurová horecka    
315,A779,"Purpurová horecka, NS    "
316,A78, Horecka Q    
317,A790,Volynská (zákopová) horecka    
318,A791,"Rickettsiální neštovice, původce: Rickettsia akari  "
319,A798,Jiné urcené rickettsiózy    
320,A799,"Rickettsióza, NS     "
321,A800,"Akutní paralytická poliomyelitida, spojená s vakcinací (slátkou)"
322,A801,"Akutní paralytická poliomyelitida, divoký virus importovaný "
323,A802,"Akutní paralytická poliomyelitida, divoký virus tuzemský "
324,A803,"Akutní paralytická poliomyelitida, jiná a NS "
325,A804,Akutní neparalytická poliomyelitida    
326,A809,"Akutní poliomyelitida, NS    "
327,A810,Creutzfeldtova-Jacobova nemoc     
328,A811,Subakutní sklerotizující panencefalitida    
329,A812,Progresivní multifokální leukoencefalopatie    
330,A818,Jiné pomalé virové infekce centrální nervové soustavy
331,A819,"Pomalé virové infekce CNS, NS  "
332,A820,Vzteklina - lesní    
333,A821,Vzteklina - městská    
334,A829,"Vzteklina, NS     "
335,A830,Japonská encefalitida     
336,A831,Západní koňská encefalitida    
337,A832,Východní koňská encefalitida    
338,A833,St. Louiská encefalitida    
339,A834,Australská encefalitida     
340,A835,Kalifornská encefalitida     
341,A836,Rocio virová nemoc    
342,A838,Jiná virová encefalitida přenášená komáry  
343,A839,"Virová encefalitida přenášená komáry, NS  "
344,A840,Encefalitis dálného východu přenášená klíšťaty [Ruská jarně-letní
345,A841,Středoevropská encefalitida přenášená klíšťaty   
346,A848,Jiná virová encefalitida přenášená klíšťaty  
347,A849,"Virová encefalitida přenášená klíšťaty, NS  "
348,A850,Enterovirová encefalitida (G05.1*)    
349,A851,Adenovirová encefalitida (G05.1*)    
350,A852,"Virová encefalitida prenásená clenovci, NS  "
351,A858,Jiná urcená virová encefalitida   
352,A86, Neurcená virová encefalitida   
353,A870,Enterovirová meningitida (G02.0*)    
354,A871,Adenovirová meningitida (G02.0*)    
355,A872,Lymfocytární choriomeningitida     
356,A878,Jiné virové meningitidy    
357,A879,"Virová meningitida, NS    "
358,A880,Enterovirová exantémová horecka [Bostonská vyrázka]  
359,A881,Epidemické vertigo     
360,A888,Jiné urcené virové infekce centrální nervové soustavy
361,A89, Neurcená virová infekce centrální nervové soustavy
362,A90, Dengue [klasická dengue]   
363,A91, Hemoragická horecka dengue   
364,A920,Virová nemoc Chikungunya    
365,A921,Horecka o'nyong-nyong     
366,A922,Venezuelská koňská horečka    
367,A923,Západonilská horečka [West Nile]   
368,A924,Horečka Rift Valley    
369,A928,Jiná určená virová horečka přenášená komáry 
370,A929,"Virová horečka přenášená komáry, NS  "
371,A930,Virová nemoc Oropouche    
372,A931,Horečka (přenášená písečnými mouchami) [Sandfly fever] 
373,A932,Colorádská klíšťová horečka    
374,A938,Jiná určená virová horečka přenášená členovci 
375,A94, Neurčená virová horečka přenášená členovci 
376,A950,Lesní žlutá zimnice    
377,A951,Městská žlutá zimnice    
378,A959,"Žlutá zimnice, NS    "
379,A960,Hemoragická horečka Junin    
380,A961,Hemoragická horečka Machupo    
381,A962,Horečka Lassa     
382,A968,Jiná arenavirová hemoragická horečka   
383,A969,"Arenavirová hemoragická horečka, NS   "
384,A980,Krymská a Konžská hemoragická horečka  
385,A981,Omská hemoragická horečka    
386,A982,Kyasanurská pralesní nemoc    
387,A983,Marburgská nemoc     
388,A984,Horečka ebola     
389,A985,Hemoragická horečka s renálním syndromem  
390,A988,Jiná určená virová hemoragická horečka  
391,A99, Neurčená virová hemoragická horečka  
392,B000,Herpetický ekzém - eczema herpeticum  
393,B001,"Vesikulární dermatitida, původce: Herpes simplex  "
394,B002,"Herpetická gingivostomatitida a faryngotonsilitida, původce: Herpes simplex"
395,B003,"Herpetická meningitida (G02.0*), původce: Herpes simplex "
396,B004,"Herpetická encefalitida (G05.1*), původce: Herpes simplex "
397,B005,"Herpetická oční onemocnění, původce: Herpes simplex "
398,B007,"Diseminované herpetické onemocnění, původce: Herpes simplex "
399,B008,"Jiné formy herpetické infekce, původce: Herpes simplex"
400,B009,"Herpetická infekce, NS    "
401,B010,Varicelová meningitida (G02.0*)    
402,B011,Varicelová encefalitida (G05.1*)    
403,B012,Varicelová pneumonie (J17.1*)    
404,B018,Varicella s jinými komplikacemi   
405,B019,Varicella bez komplikace    
406,B020,Herpeszosterová encefalitida (G05.1*)    
407,B021,Herpeszosterová meningitida (G02.0*)    
408,B022,Herpes zoster s jinými komplikacemi nervové soustavy
409,B023,Herpeszosterové oční onemocnění    
410,B027,Generalizovaný (diseminovaný) herpes zoster   
411,B028,Herpes zoster s jinými komplikacemi  
412,B029,Herpes zoster bez komplikace   
413,B03, Variola - pravé neštovice  [černé
414,B04, Opičí neštovice    
415,B050,Spalničky komplikované encefalitidou (G05.1*)   
416,B051,Spalničky komplikované meningitidou (G02.0*)   
417,B052,Spalničky komplikované pneumonií (J17.1*)   
418,B053,Spalničky komplikované zánětem středního ucha (H67.1*) 
419,B054,Spalničky se střevními komplikacemi   
420,B058,Spalničky s jinými komplikacemi   
421,B059,Spalničky bez komplikací    
422,B060,Zarděnky s neurologickými komplikacemi   
423,B068,Zarděnky s jinými komplikacemi   
424,B069,Zarděnky bez komplikací    
425,B07, Virové bradavice    
426,B080,Jiné infekce orthopoxviry    
427,B081,Molluscum contagiosum     
428,B082,Exanthema subitum [šestá nemoc]   
429,B083,Erythema infectiosum [pátá nemoc]   
430,B084,Enterovirová vesikulární stomatitida s exantemem  
431,B085,Enterovirová vesikulární faryngitida    
432,B088,Jiné určené infekce charakterizované kožními a slizničními
433,B09, Neurčené virové infekce charakterizované postižením kůžesliznic
434,B150,Hepatitis A s hepatálním komatem  
435,B159,Hepatitis A bez hepatálního komatu  
436,B160,Akutní hepatitida B s Delta agens (koinfekce)hepatálnímkomatem
437,B161,Akutní hepatitida B s Delta agens (koinfekce)hepatálníhokomatu
438,B162,Akutní hepatitida B bez Delta agens skomatem
439,B169,Akutní hepatitida B bez Delta agens ahepatálníhokomatu
440,B170,Akutní Delta-(super) infekce nosiče hepatitis B 
441,B171,Akutní hepatitida C    
442,B172,Akutní hepatitida E    
443,B178,Jiná určená akutní virová hepatitida  
444,B180,Chronická virová hepatitida B s Delta agens
445,B181,Chronická virová hepatitida B bez Delta agens
446,B182,Chronická virová hepatitida C   
447,B188,Jiná chronická virová hepatitida   
448,B189,"Chronická virová hepatitida, NS   "
449,B190,Neurčená virová hepatitida s komatem  
450,B199,Neurčená virová hepatitida bez komatu  
451,B200,Onemocnění HIV projevující se mykobakteriálními infekcemi 
452,B201,Onemocnění HIV s projevy jiných bakteriálních infekcí
453,B202,Onemocnění HIV s projevy cytomegalovirové nemoci 
454,B203,Onemocnění HIV s projevy jiných virových infekcí
455,B204,Onemocnění HIV s projevy kandidózy  
456,B205,Onemocnění HIV s projevy jiných mykóz 
457,B206,Onemocnění HIV s pneumonií způsobenou Pneumocystis carinii
458,B207,Onemocnění HIV s mnohočetnými infekcemi  
459,B208,Onemocnění HIV s jinými určenými infekčními aonemocněními
460,B209,Onemocnění HIV s projevy neurčené infekční nebonemoci
461,B210,Onemocnění HIV s projevy Kaposiho sarkomu 
462,B211,Onemocnění HIV s projevy Burkittova lymfomu 
463,B212,Onemocnění HIV s projevy jiných typů ne-Hodgkinova
464,B213,Onemocnění HIV s projevy jiných zhoubných novotvarůapříbuznétkáně
465,B217,Onemocnění HIV s projevy mnohočetných zhoubných novotvarů
466,B218,Onemocnění HIV s projevy jiných zhoubných novotvarů
467,B219,Onemocnění HIV s projevy neurčených zhoubných novotvarů
468,B220,Onemocnění HIV  projevující se encefalopatií 
469,B221,Onemocnění HIV s projevy lymfoidní intersticiální pneumonie
470,B222,Onemocnění HIV projevující se syndromem chátrání (wasting
471,B227,Onemocnění HIV projevující se mnohočetnými onemocněními zařazenými
472,B230,Syndrom akutní infekce HIV   
473,B231,Onemocnění HIV s (přetrvávající) generalizovanou lymfadenopatií 
474,B232,Onemocnění HIV s hematologickými a imunologickými abnormalitamijinde
475,B238,Onemocnění HIV s jinými určenými stavy 
476,B24, Neurčené onemocnění virem lidské imunodeficience [HIV]
477,B250,Cytomegalovirová pneumonie (J17.1*)    
478,B251,Cytomegalovirová hepatitida (K77.0*)    
479,B252,Cytomegalovirová pankreatitida (K87.1*)    
480,B258,Jiná cytomegalovirová nemoc    
481,B259,"Cytomegalovirová nemoc, NS    "
482,B260,Orchitis parotitica (N51.1*)    
483,B261,Meningitis parotitica (G02.0*)    
484,B262,Encephalitis parotitica (G05.1*)    
485,B263,Pancreatitis parotitica (K87.1*)    
486,B268,Parotitis epidemica s jinými komplikacemi  
487,B269,Parotitis epidemica bez komplikací   
488,B270,Mononukleóza způsobená herpetickým gamma virem  
489,B271,Mononukleóza cytomegalovirová     
490,B278,Jiná infekční mononukleóza    
491,B279,"Infekční mononukleóza, NS    "
492,B300,Keratokonjunktivitida způsobená adenovirem (H19.2*)   
493,B301,Konjunktivitis způsobená adenovirem (H13.1*)   
494,B302,Virová faryngokonjunktivitida     
495,B303,Akutní epidemická (enterovirová) hemoragická konjunktivitida  (H13.1*)
496,B308,Jiný virový zánět oční spojivky (H13.1*) 
497,B309,"Virový zánět oční spojivky, NS  "
498,B330,Epidemická myalgie     
499,B331,Nemoc Ross River    
500,B332,Virová karditida     
501,B333,Retrovirová infekce nezařazená jinde   
502,B338,Jiné určené virové nemoci   
503,B340,"Adenovirová infekce, NS    "
504,B341,"Enterovirová infekce, NS    "
505,B342,"Coronavirová infekce, NS    "
506,B343,"Parvovirová infekce, NS    "
507,B344,"Papovavirová infekce, NS    "
508,B348,Jiná virová infekce neurčené lokalizace  
509,B349,"Virová infekce, NS    "
510,B350,Tinea vousu a hlavy   
511,B351,Tinea nehtů     
512,B352,Tinea ruky     
513,B353,Tinea nohy     
514,B354,Tinea trupu     
515,B355,Tinea imbricata     
516,B356,Tinea bérce     
517,B358,Jiné dermatofytózy     
518,B359,"Dermatofytóza, NS     "
519,B360,Pityriasis versicolor     
520,B361,Tinea nigra     
521,B362,Bílá piedra     
522,B363,Černá piedra     
523,B368,Jiné určené povrchové mykózy   
524,B369,"Povrchová mykóza, NS    "
525,B370,Kandidová stomatitida     
526,B371,Plicní kandidóza     
527,B372,Kandidóza kůže a nehtů   
528,B373,Kandidóza vulvy a pochvy (N77.1*)  
529,B374,Kandidóza jiných močových a pohlavních lokalizací 
530,B375,Kandidová meningitida (G02.1*)    
531,B376,Kandidová endokarditida (I39.8*)    
532,B377,Kandidová septikémie     
533,B378,Kandidóza jiných lokalizací    
534,B379,"Kandidóza, NS     "
535,B380,Akutní plicní kokcidioidomykóza    
536,B381,Chronická plicní kokcidioidomykóza    
537,B382,"Plicní kokcidioidomykóza, NS    "
538,B383,Kožní kokcidioidomykóza     
539,B384,Kokcidioidomykotická meningitida (G02.1*)    
540,B387,Diseminovaná kokcidioidomykóza     
541,B388,Kokcidioidomykóza jiných lokalizací    
542,B389,"Kokcidioidomykóza, NS     "
543,B390,"Akutní plicní histoplazmóza, původce: Histoplasma capsulatum "
544,B391,"Chronická plicní histoplazmóza, původce: Histoplasma capsulatum "
545,B392,"Plicní histoplazmóza, původce: Histoplasma capsulatum, NS "
546,B393,"Diseminovaná histoplazmóza, původce: Histoplasma capsulatum  "
547,B394,"Histoplazmóza, původce: Histoplasma capsulatum, NS  "
548,B395,"Histoplazmóza, původce: Histoplasma duboisii   "
549,B399,"Histoplazmóza, NS     "
550,B400,Akutní plicní blastomykóza    
551,B401,Chronická plicní blastomykóza    
552,B402,"Plicní blastomykóza, NS    "
553,B403,Kožní blastomykóza     
554,B407,Diseminovaná blastomykóza     
555,B408,Blastomykóza jiných forem    
556,B409,"Blastomykóza, NS     "
557,B410,Plicní parakokcidioidomykóza     
558,B417,Diseminovaná parakokcidioidomykóza     
559,B418,Parakokcidioidomykóza jiných forem    
560,B419,"Parakokcidioidomykóza, NS     "
561,B420,Plicní sporotrichóza   (J99.8*)  
562,B421,Lymfokutánní sporotrichóza     
563,B427,Diseminovaná sporotrichóza     
564,B428,Sporotrichóza jiných forem    
565,B429,"Sporotrichóza, NS     "
566,B430,Kožní chromomykóza     
567,B431,Feomykotický absces mozku    
568,B432,Podkožní feomykotický absces a cysta  
569,B438,Chromomykóza jiných forem    
570,B439,"Chromomykóza, NS     "
571,B440,Invazivní plicní aspergilóza    
572,B441,Jiná plicní aspergilóza    
573,B442,Tonzilární aspergilóza     
574,B447,Diseminovaná aspergilóza     
575,B448,Aspergilóza jiných forem    
576,B449,"Aspergilóza, NS     "
577,B450,Plicní kryptokokóza     
578,B451,Mozková kryptokokóza     
579,B452,Kožní kryptokokóza     
580,B453,Kostní kryptokokóza     
