,Diagnose_KEY,Diagnose_name,Diagnose_Code,Diagnose_Flag,Diagnose_Silver_ID
42,43,Amébovy mozkovy absces (G07*)   ,A066,L,HDFQPT2Z-2216-6PA0-N8H5-L5MQ9PRLAM1U
43,44,Kozní amébóza     ,A067,L,QPXO5EX1-APLP-JKTW-CPT1-B50AG25P80BD
44,45,Amébová infekce jinych lokalizací   ,A068,L,7QUDNGG1-HCR0-ICID-H5EP-5WVMY8QZ2CAC
45,46,"Amébóza, NS     ",A069,LU,RPDOERX7-5PY4-3C12-5035-JVT7O1Z7COT2
46,47,Balantidióza      ,A070,,JLCNFQET-RW8N-QCPJ-QW9U-1M7XDODXGOPY
47,48,Giardiósa (lamblióza)     ,A071,,252K5DOM-UG3O-PK51-PF9A-USCMDT7KZN1W
48,49,Kryptosporidióza      ,A072,L,KBSPE1L1-VNG0-P89P-DLA7-GYPEQMRVP7NE
49,50,Izosporóza      ,A073,,8LKWMF8Q-QY4G-934Z-RXYN-NPE162BZNRFZ
50,51,Jiné urcené protozoární strevní nemoci  ,A078,,EWDQ2GVW-ICSJ-1DWW-VC7Z-I31XK2H21YQ6
51,52,"Protozoární strevní nemoci, NS   ",A079,,IBHIH7K7-HATB-JCX3-FOXR-9091BLIY40AR
52,53,Rotavirová enteritida     ,A080,,1A6IBHB5-8A1F-PELC-AB72-RAI7YLPBB4YL
53,54,"Akutní gastroenteropatie, puvodce: agens Norwalk  ",A081,L,Q51Y09JU-MDQK-5OB4-2849-PWDCUDZZYEX2
54,55,Adenovirová enteritida     ,A082,L,M7GFBPA7-S6BY-HUDN-FCDB-KVM99AW8IS0G
55,56,Jiná virová enteritida    ,A083,,R9V854F7-QULC-3448-7G2P-KH2NAYF08JKK
56,57,"Virové strevní infekce, NS   ",A084,,UPUUWN36-ZBF5-W5EX-1LAF-8CDLJ9HCVGPU
57,58,Jiné urcené strevní infekce   ,A085,,OJ2XHIE5-9O9G-VZBE-IQJT-UETXWF8FM7L9
58,59, Prujem-diarrhoea a gastroenteritida predpokládaného infekcního puvodu,A09,L,ODQZJK2K-EYEY-L4W1-LDF2-GCRP71NNSNQ0
59,60,"Tuberkulóza plic, overená ze sputa mikroskopicky sbezkultivace",A150,L,SKHY5YW5-EEZS-GDBG-1XOF-L6VKBGGZE16B
60,61,"Tuberkulóza plic, overená pouze kultivací  ",A151,L,XBIY01X2-YQ2L-Z9U6-P2HJ-UDC4IZHTBN7Z
61,62,"Tuberkulóza plic, overená histologicky   ",A152,,K8WRHB2I-D8FU-SI3H-932T-3DV4GZL9FMUT
62,63,"Tuberkulóza plic, overená NS zpusoby  ",A153,LU,LGTI3QFE-UXGS-QFV5-Y6C3-N9CNM2ME0VIP
63,64,"Tuberkulóza nitrohrudních mízních uzlin, bakteriologicky a histologicky",A154,,QIAGTE0T-UB37-H1XJ-DBAE-SUTIFOX8BSHD
64,65,"Tuberkulóza hrtanu, prudusnice a bronchu, bakteriologicky aoverená",A155,L,0RM7NBDL-ZE0X-C9A2-LZIE-V2APAE1QLU0O
65,66,"Tuberkulózní zánet pohrudnice, bakteriologicky a histologicky overeny",A156,L,EWPBCR0P-9JH8-3Z7K-Z7WI-HWN0QLFUON7P
66,67,Primární tuberkulóza dychacího ústrojí bakteriologicky a histologicky,A157,L,82EGL7G3-EZGI-7W76-UDG1-R8OKK6C242O8
67,68,"Jiná tuberkulóza dychacího ústrojí, bakteriologicky a histologicky",A158,,N4Z5KD47-NO4N-P8RP-HOGF-BJT0D60G370S
68,69,"Tuberkulóza dychacího ústrojí NS, bakteriologicky a histologicky",A159,,XOK05OQR-VM3Y-VBT0-PIB4-HV8FXGUM71ZH
69,70,"Tuberkulóza plic, bakteriologicky a histologicky negativní ",A160,,ONES3K36-F0CM-E240-G8NT-BPQRQ8NFGJM0
70,71,"Tuberkulóza plic, bakteriologické a histologické vysetrení nebylo",A161,,JQ8KE3WE-I8Z6-57YK-R6SC-L2N7HRPTJSKW
71,72,"Tuberkulóza plic, bez uvedení bakteriologického nebo histologického",A162,,REJ7KFRM-NFPM-0LZ9-SWI9-UJSQH88U4NC6
72,73,"Tuberkulóza nitrohrudních mízních uzlin,bez uvedení bakteriol.nebo histol.overení",A163,,4BU6MMVH-Y8QO-UZH5-9U6L-2MZHTYKMFDFW
73,74,"Tuberkulóza hrtanu,prudusnice a bronchu,bez uvedení bakteriol.nebo histol.overení",A164,,TK0M71UF-A2D6-LTDP-SY71-C0LN803D5G2T
74,75,"Tuberkulózní zánet pohrudnice, bez uvedení bakteriologického histologickéhooverení",A165,L,JROCTMN5-O5CD-KXPD-BI4X-7EZZ5GBX8UT3
75,76,Primární tuberkulóza dychacího ústrojí bez uvedení bakteriol.nebo,A167,L,71W7NK10-K9C5-9FD9-XDPI-YW0EAPEK0WTX
76,77,"Jiná tuberkulóza dychacího ústrojí,bez uvedení bakteriol.nebo histol.overení",A168,,2SCAFAYF-BVEX-LNA1-RS2G-DR73ZNW4DYGQ
77,78,"Tuberkulóza dychacího ústrojí NS,bez uvedení bakteriol.nebo histol.overení",A169,L,15NPCPKZ-T005-JCBX-V8Z0-AI6M4TGMI3LS
78,79,Tuberkulózní meningitida - meningitis tuberculosa (G01*) ,A170,,NHF0YR9W-Y0XK-SZDP-Y54T-AT6GEL79ME0W
79,80,Meningeální tuberkulom (G07*)    ,A171,L,OLUEBOCQ-NNT4-P63H-7BMW-SMNGLZ3EED4N
80,81,Jiná tuberkulóza nervové soustavy   ,A178,L,HK45QJPR-P34A-9D50-ZLUO-9KC7LCXDZGIH
81,82,"Tuberkulóza nervové soustavy, NS (G99.8*)  ",A179,LU,XCVGOZ0B-MS85-92OY-Y5Q7-VUOIACD6H71M
82,83,Tuberkulóza kostí a kloubu   ,A180,,B7JCH09R-ZJSF-CVMF-JNPV-CMM058C8DCEW
83,84,Tuberkulóza mocové a pohlavní soustavy  ,A181,L,DJJR89RC-QF1W-GHNS-SZ1P-XPNLLZQIPFTD
84,85,Tuberkulózní periferní lymfadenopatie    ,A182,L,CNHGR6OV-29PZ-H2RK-S3UY-VEJPB83HIRCJ
85,86,"Tuberkulóza strev, pobrisnice a mezenterickych uzlin ",A183,L,C3AD38KG-ACCZ-8HCX-LS9R-SG19EULDZV2P
86,87,Tuberkulóza kuzee a podkozního vaziva  ,A184,L,ZV778MMV-XRV5-WNYJ-PUHY-QMP1PNP58V55
87,88,Tuberkulóza oka     ,A185,,VXUX0GA2-3WNC-T5G5-Q5OU-HDSJFAY0QQD5
88,89,Tuberkulóza ucha     ,A186,L,V04GLA15-9G4G-WNHQ-KLLN-L6CBM93D16AR
89,90,Tuberkulóza nadledvin (E35.1*)    ,A187,L,02SWD39L-Q6W3-223V-AWHC-I9PKJN75IIR9
90,91,Tuberkulóza jinych urcenych orgánu   ,A188,,OUSGIKGJ-5NLK-VTOE-SXWJ-3TJPYE4SXRLH
91,92,Akutní miliární tuberkulóza jediného urceného místa ,A190,LU,5DFW6Z3I-JM2V-WBFI-VLU0-H5AKE7SBFXI6
92,93,Akutní miliární tuberkulóza více lokalizací  ,A191,L,NNIUU7CK-Z4D5-O4XX-X694-XR5D1BM9C4R6
93,94,"Akutní miliární tuberkulóza, NS   ",A192,,C4FHB1DJ-B3Z0-KWR2-BEY1-WVB5VGPM8KTI
94,95,Jiná miliární tuberkulóza    ,A198,,2V63MBWB-FEH3-P1OG-MI2F-W0IF6B8DOJW9
95,96,"Miliární tuberkulóza, NS    ",A199,L,I3P0DWMX-UHLV-6XX8-QEDH-3IZ0CAAH8LKG
96,97,Bubonicky - dymejovy mor   ,A200,LU,98XWJ615-EMV6-EL6D-RDYI-ZVAR37MNJA3D
97,98,Celulokutanní mor     ,A201,,4CS30NNR-PYML-LDGH-APWA-LFNDKN1IHYLR
98,99,Plicní mor     ,A202,L,IBGVSH90-ZGTW-N37C-BKON-JL0J0MX45ZDR
99,100,Morová meningitida     ,A203,L,93NNRWH3-MLJY-F3JJ-DJ5Q-SBBXK1QTVAPJ
100,101,Septikémicky mor     ,A207,LU,46IZS234-O7YY-A40U-C4US-V3L76NKIWWS5
101,102,Jiné formy moru    ,A208,LU,U5JG8WE7-LW0S-1ST3-R49P-P9QCFMKJ66E8
102,103,"Mor, NS     ",A209,L,8RFBO73Y-FZ65-749J-67W4-NAQC29PUAZYT
103,104,Ulceroglandulární tularémie     ,A210,LU,A28QUTNR-8924-7MBU-5QXK-CEKVTL361S38
104,105,Okuloglandulární tularémie     ,A211,L,C76AJB36-799J-8FRJ-R5FM-IPCH3K1F4AMA
105,106,Plicní tularémie     ,A212,,SM80IIO5-YQUE-KFY0-YCLN-BZO6M9J59VM5
106,107,Gastrointestinální tularémie     ,A213,L,O9725M3U-GU6J-SMNU-TEIU-1UVQQX64PANR
107,108,Generalizovaná tularémie     ,A217,L,KO0102UP-7NHM-0UIF-GOEG-IQRJ6240J1K5
108,109,Jiné formy tularémie    ,A218,L,XANC5AV6-3NSP-YQL2-HKK5-J5XE5MXH5THK
109,110,"Tularémie, NS     ",A219,,E1L5Q7SB-WH7W-UUDY-00IY-8RBZ6XHFYIDK
110,111,Kozní antrax     ,A220,L,LJRS5BCW-IP2I-FX0Q-RQ81-3HA9PT54BTP6
111,112,Plicní antrax     ,A221,,4OLXHRFI-XK4Q-WVDC-RTMX-G2OD3IPH1B4Z
112,113,Gastrointestinální antrax     ,A222,,TZEQEN2X-X2J0-MCTL-4R7F-V5ZZ959USS9G
113,114,Antraxová septikémie     ,A227,L,U1ND4MRG-ZWGQ-5GG1-BZAA-II5X50D3RCNY
114,115,Jiné formy antraxu    ,A228,,5JA34PMP-HDMQ-S5C5-AB4F-KYD22LQJ6WN6
115,116,"Anthrax, NS     ",A229,L,QV4INV7Y-7S1C-OSKZ-JVCP-43ZNIW63PBTY
116,117,"Brucelóza, puvodce: Brucella melitensis   ",A230,L,WIWWBW7M-BA49-2A2S-QCSK-6LLG7UQ67BT1
117,118,"Brucelóza, puvodce: Brucella abortus   ",A231,L,QJNRMX14-F8YJ-SQ7O-DMKG-7OYC7WKR3S41
118,119,"Brucelóza, puvodce: Brucella suis   ",A232,,UXRV8IVT-7HMF-WSUK-NYKU-CR96L3T4EWWS
119,120,"Brucelóza, puvodce: Brucella canis   ",A233,L,B6S3UCXQ-VIYJ-AJKN-65GD-85AFT1N4INF2
120,121,Jiná brucelóza     ,A238,L,ZP19B4SY-RX07-BEJP-P489-R8P820EGLG5E
121,122,"Brucellosis, NS     ",A239,,2BRN4VPU-2Y1Q-R4XX-ZE2R-FTKU6X5WOVPI
122,123,Malleus - vozhrivka    ,A240,L,J7NL1G86-TD7K-DDDB-4FHR-KKCRZ63AAT61
123,124,Akutní prudká melioidóza    ,A241,,QY4OFL90-1MM9-7ZQW-LGG4-S7VXLZS4FPYG
124,125,Subakutní nebo chronická melioidóza   ,A242,L,U3N8HVCN-2KZO-MGWH-JETE-7NIS219ERVCE
125,126,Jiná melioidóza     ,A243,,VZWFEL90-KW4X-8OOZ-ON24-DWZMPXXQ0F6Q
126,127,"Melioidosis, NS     ",A244,L,XMY6DRRO-MH0V-JS4C-HK16-4W9UVH5AI9B5
127,128,Spirillosis      ,A250,,DIK9GX77-35NG-82JC-NJ1S-T73OP3I6G6F7
128,129,Streptobacillosis      ,A251,L,9TS970US-KG9T-0PL4-LJA0-3I4ON5R2QHUJ
129,130,"Horecka z krysího kousnutí, NS  ",A259,L,QLK16JCN-1NMI-TLKV-LT57-TKVY80UHT7QQ
130,131,Kozní erysipeloid     ,A260,,TA0KTNEU-GSYZ-DUVP-F6VX-ED3MGN8V4YHY
131,132,Erysipelothrixová septikémie     ,A267,LU,BV19809N-8SQR-QHRW-J0EI-1H0UGUIE846B
132,133,Ostatní formy erysipeloidu    ,A268,LU,C62ZFF8J-Y74F-8PWR-LFD0-PVX9O5LG2J8Q
133,134,"Erysipeloid, NS     ",A269,LU,GU0ZQGUS-XPEH-I6FL-KP7N-QURPO1J1NXLL
134,135,Leptospirosis icterohaemorrhagica     ,A270,LU,RWXT23DS-EV5R-NV0X-TL3E-QLJ6Q2WZZ18S
135,136,Ostatní formy leptospirózy    ,A278,L,D7X2EJFI-TXFY-E5SO-0BOS-7SAC1RJ35OXI
136,137,"Leptospiróza, NS     ",A279,L,Z74UFPFQ-KZZQ-WB4H-UCC4-0VI4NDPX2CTT
137,138,Pasteurellosis      ,A280,L,HIXBKVRD-OSEG-7SEC-4L9O-R1VS2IDWPNX9
138,139,Nemoc kocicího skrábnutí    ,A281,L,I8V0UBF5-LSTK-LSD8-43NV-VP79RY3UF5ZH
139,140,Extraintestinální yersinióza     ,A282,,UN6ZVUA6-YTSL-DATG-LKZZ-ZF10L4K1M3KK
140,141,Jiné urcené zoonotické bakteriální nemoci nezaraditelné jinam,A288,LU,DDAXUH11-79Z1-5MKS-0UTE-58J611VRMZOG
141,142,"Zoonotická bakteriální nemoc, NS   ",A289,LU,XLPZRB95-2FUA-TNKR-R489-GEMPNWXP8DVU
142,143,Lepra indeterminovaná     ,A300,,MDADR49X-II0N-YCAJ-VIDM-4M1KBXPJVB1P
143,144,Lepra tuberkuloidní     ,A301,,ULHUDDVV-KT5M-JW2J-UR23-REL4JMRJ01EY
144,145,Lepra hranicní tuberkuloidní    ,A302,L,I49ST3WY-F97I-31FN-FLZS-FTOQCTA6IIKM
145,146,Lepra hranicní     ,A303,L,YZPKG09W-VIYJ-MSMO-RQEG-SXSQRF70JSVX
146,147,Lepra hranicní lepromatózní    ,A304,,WR5RS8WU-WBI4-436E-PIBA-ARANY1X2MNG7
147,148,Lepra lepromatózní     ,A305,L,GQ4QHF7H-DBZQ-56DI-F8P7-NTIRSO5U86GW
148,149,Jiné formy lepry    ,A308,,V91993FF-L4A0-FA7K-ST7U-0F6QWGDBD6A9
149,150,"Lepra, NS     ",A309,L,0887DN24-19P7-UIY6-2DQV-NGUQN7F8HI9M
150,151,Plicní mykobakteriální infekce    ,A310,,6EJSDSMK-HOS1-4QQH-8IP7-46EHB6C517XN
151,152,Kozní mykobakteriální infekce    ,A311,,WGLMAZBQ-24GR-CW3V-4RFY-5Z7XL0FAADOA
152,153,Jiné mykobakteriální infekce    ,A318,L,9DNJE5GP-3XRY-P76E-F5J8-EXYMWQKOO8LU
153,154,"Mykobakteriální infekce, NS    ",A319,L,TE8FD7U5-N4KX-QQPF-CMPV-0JTBL6FR4S6N
154,155,Listerióza kozní     ,A320,,7L38EDH4-Q9IA-OFSY-Q97F-IS9407J84JJ9
155,156,Listeriová meningitida a meningoencefalitida   ,A321,LU,LA45QGQQ-JIP6-29GS-VODR-NVHWULS18P4T
156,157,Listeriová septikémie     ,A327,L,NP4EFVNC-VX6S-2WLT-W5QF-SA4LNHJKNEAC
157,158,Jiné formy listeriózy    ,A328,,T07RBT4B-UEKK-6A8G-IPZE-OCA5ZWPKZOYH
158,159,"Listerióza, NS     ",A329,,E4QGYTGO-9PAD-CMIK-XI4N-MP2J2IHU2OUG
159,160, Tetanus novorozencu    ,A33,,KY5U9W9K-SRQS-SKA8-ZIU2-HSLB2MKLMYTI
160,161, Tetanus porodnicky    ,A34,L,20OTDCH9-UFCY-X8IT-9LRQ-YKS83WP03NS2
161,162, Tetanus jiny    ,A35,L,KMK9VZER-7RM4-17Z8-TI2S-GP1NQSNH7QRS
162,163,Záskrt hltanu     ,A360,,2GTKBKD2-QGEX-SBQN-3KY4-WANGFQ409AAX
163,164,Nosohltanovy záskrt     ,A361,,D51P9GP8-QNHK-JPXU-8A11-P8JIS9A70W6J
164,165,Hrtanovy záskrt     ,A362,,XIAUQKJ3-Y581-3TTU-228E-O9X3N4QE5T0R
165,166,Kozní záskrt     ,A363,,ZMIXIHQ6-AW3F-U9TW-RI47-CEXJYRZDGXGP
166,167,Jiny záskrt     ,A368,,NM2ERVDS-XS1P-IC4J-OVXO-5IIJ5G0AVFXF
167,168,"Záskrt, NS     ",A369,,8RSM9W2L-76T7-JCJB-5C38-6GFG20A9XLFR
168,169,"Dávivy kasel, puvodce: Bordetella pertussis  ",A370,L,0NVFT8GP-RUK5-NWVU-BNEJ-EBKRV354T2MC
169,170,"Dávivy kasel, puvodce: Bordetella parapertussis  ",A371,,7GUCON2K-FJ1I-FO4S-YAXW-2P91YDXDQS4V
170,171,"Dávivy kasel, puvodce: jiny urceny druh Bordetelly",A378,,8DJSN56Y-SUY3-81R7-U205-X9ATBHIL5XKF
171,172,"Dávivy kasel, NS    ",A379,L,NQABR7LL-H660-WFN2-VGVV-SPX4NDJ1FAEI
172,173, Spála - scarlatina   ,A38,,533P5ADZ-0SCO-YVAK-4H6M-FNG1HQCYHN7W
173,174,Meningokoková meningitida - meningitis meningococcica (G01*) ,A390,,1F4YVT9R-B7DK-ETOH-B8DL-VSHGVO3DMHBQ
174,175,Waterhauseuv-Friderichsenuv syndrom (E35.1*)    ,A391,,X8VRH6TO-FR7R-WRN1-ZEPR-GUA3F12AA9JW
175,176,Akutní meningokokcémie     ,A392,,JP9GJC2Y-AS4H-I92B-OWH8-YXGTWGVUDPSK
176,177,Chronická meningokokcémie     ,A393,,IDRGA96T-UDWP-5OQ1-PXKI-R7KSD95022BV
177,178,"Meningokokcémie, NS     ",A394,LU,38ADXX4V-EC2W-HNLV-3TR2-GI0630S2090H
178,179,Meningokoková onemocnení srdce    ,A395,LU,E1ODQ4O6-K54D-XEAB-U6BY-9OVB59Y65PG0
179,180,Jiné meningokokové infekce    ,A398,LU,E6A2GXVO-1QOB-FSM9-WCXX-1AXUHT7E1Q6B
180,181,"Meningokoková infekce, NS    ",A399,L,J3HOL199-94PJ-7NPP-XESM-9D4HDI4878T0
181,182,"Septikémie, zpusobená Streptokoky skupiny A  ",A400,L,RBUCV26T-0N31-B8W2-WGZD-0NVUZ010XSG8
182,183,"Septikémie, zpusobená Streptokoky, skupiny B  ",A401,,Z279P8R3-XT7R-AS5E-26D9-1R77XIV2TC8W
183,184,"Septikémie zpusobená Streptokoky, skupiny D  ",A402,LU,JCDXGAF4-U6ZU-EIN2-TAKE-8BCWEFEWBL2J
184,185,"Septikémie, puvodce: Streptococcus pneumoniae   ",A403,L,ETKNDJ2C-Y0UG-HBJ7-9019-LSPBFONCNVW0
185,186,Jiná streptokoková septikémie    ,A408,,B1JN8KY7-HK83-N59R-14RL-EYC9BD6URUVA
186,187,"Streptokoková septikémie, NS    ",A409,LU,PDEUMMWZ-UZF1-IVGZ-BOUP-L5E9AGMD90JD
187,188,"Septikémie, puvodce: Staphylococcus aureus   ",A410,L,253NP1AY-MGMW-RWZX-ZGTS-D0X6MD2SDSZI
188,189,"Septikémie, zpusobená jinymi urcenymi stafylokoky  ",A411,,FZLMLMBY-XK37-4G0X-YFFM-ROIYPJJJFCJD
189,190,"Septikémie, zpusobená neurcenym stafylokokem   ",A412,,MQG0GIL3-6UDX-CAOP-S2XX-06X89CLIJH11
190,191,"Septikémie, puvodce: Haemophilus influenzae   ",A413,,B0QONKMC-4NQY-LOXL-ONZO-L0V1FYBG31HM
191,192,"Septikémie, zpusobená anaeroby    ",A414,L,HCMI4AV1-I913-CCEN-HKIG-KQY0QOJU6L31
192,193,Septikémie zpusobená jinymi gramnegativními organismy  ,A415,L,FJR0URSG-VOFG-91ZX-T0GL-836399YJRUP7
193,194,Jiné urcené septikémie    ,A418,L,8OTS5D3G-IKT7-WY7F-C60S-I4Z7MH1R0QCD
194,195,"Septikémie, NS     ",A419,L,2VM8UPIH-W1GP-V3XR-9QU3-HQMGXP8G7Z8Y
195,196,Plicní aktinomykóza     ,A420,L,76K0KPHB-HB3P-K9OI-BFZ9-73F1WU3OP0JC
196,197,Brisní aktinomykóza     ,A421,L,7E5CKWCN-ZDHJ-K16T-TFKW-7MJ0BNEO4I32
197,198,Cervikofaciální aktinomykóza     ,A422,L,Q22PREKM-3EU8-0Z7J-XQV3-LGIFMVSMAQO4
198,199,Aktinomykotická septikémie     ,A427,LU,EIMBYQGS-BHQL-FRHT-WLN3-1JKP8PVXUX51
199,200,Jiné formy aktinomykózy    ,A428,L,J09QCX11-7W40-3UOP-ZO17-E8PI2B4TC1AQ
200,201,"Aktinomykóza, NS     ",A429,L,R3J49SCN-7AWY-NS2V-LBL5-UJ8ITVMQQR8Q
201,202,Plicní nokardióza     ,A430,,SYZY3VKJ-FRM9-WVE7-1FUZ-EC1YEB9X4MER
202,203,Kozní nokardióza     ,A431,L,W1LILEND-R186-POTW-OGBH-CCRKAWEI6JV7
203,204,Jiné formy nocardiózy    ,A438,,TEASZNUM-8YAE-BAS6-I9WX-RW4R11FJODXX
204,205,"Nokardióza, NS     ",A439,,RKJ47N1K-B7K4-YGSQ-IKJ8-1WD41MHS4S0S
205,206,Bartonelóza systémová     ,A440,L,LIJI6LBQ-FNUH-M5RY-FETD-R4MQRY5HYZ08
206,207,Bartonelóza kozní a mukokutánní   ,A441,,SLHONH8K-131K-YH8W-HR6Z-Q68AGOBYA8X5
207,208,Jiné formy bartonelózy    ,A448,,IX34VVCM-9A0D-ZEX2-761S-MUSSHG93NMIM
208,209,"Bartonelóza, NS     ",A449,LU,PE2WQGWW-B08H-8XCA-JC0K-QSCZKHL6R70U
209,210, Růže - erysipelas   ,A46,L,H8HULUQO-UV5X-QS1Z-X6VV-GHOBZFQUOAP7
210,211,Plynatá sneť (gangrena emphysematosa)   ,A480,L,Y4Z4S5XN-D591-3TWY-7E2R-OM7GP6NPGLW1
211,212,Legionárská nemoc     ,A481,LU,6V8PYX0Z-K5XX-ELQ5-6XLS-JA5489PM6N4M
212,213,Nepneumonická legionárská nemoc [pontiacká horecka ] ,A482,L,2I3RPTF2-1915-RDUY-KBNO-XSDQSTA34E7C
213,214,Syndrom toxického soku    ,A483,,CLQTB7RH-YYW3-FQTU-PX8P-0EOC2UCJ2POH
214,215,Brazilská purpurová horecka    ,A484,L,C8EN5ONL-ZYVT-MH9D-WG6X-Y5W5ED0LVIXJ
215,216,Jiné urcené bakteriální nemoci   ,A488,,1VR5RK7D-6IIJ-G17N-UGBN-YPPIH0FJV2W7
216,217,"Stafylokoková infekce, NS    ",A490,L,TZG7SUEG-I988-OI2F-A81K-TM0V20OTFZAS
